Year,Month,Day,Home_ID,Home_name,Home_wins_last10,Home_wins_VERSUS_last2,Home_goals_lastGame,Home_assists_lastGame,Home_GA_startingGoalie,Home_SA_startingGoalie,Home_GA_allGoalies,Home_SA_allGoalies,Away_ID,Away_name,Away_wins_last10,Away_wins_VERSUS_last2,Away_goals_lastGame,Away_assists_lastGame,Away_GA_startingGoalie,Away_SA_startingGoalie,Away_GA_allGoalies,Away_SA_allGoalies,Home_Won
1936,11,5,11,Chicago Black Hawks,3,1,1,0,3,0,6,0,9,New York Americans,4,1,1,2,7,0,24,0,False
1936,11,5,13,Toronto Maple Leafs,6,2,3,2,0,0,1,0,16,Detroit Red Wings,5,0,7,7,2,0,10,0,False
1936,11,7,0,Montreal Canadiens,1,0,2,0,4,0,6,0,6,Boston Bruins,7,2,1,4,2,0,3,0,True
1936,11,7,13,Toronto Maple Leafs,5,1,1,2,1,0,4,0,9,New York Americans,5,1,1,1,1,0,18,0,False
1936,11,8,16,Detroit Red Wings,5,1,3,2,1,0,5,0,10,New York Rangers,6,1,2,2,2,0,12,0,True
1936,11,10,7,Montreal Maroons,8,0,3,3,2,0,15,0,10,New York Rangers,5,2,2,2,5,0,15,0,False
1936,11,12,0,Montreal Canadiens,2,0,2,3,0,0,2,0,7,Montreal Maroons,8,2,1,1,4,0,13,0,True
1936,11,12,9,New York Americans,5,1,3,1,2,0,19,0,11,Chicago Black Hawks,2,1,1,2,1,0,4,0,False
1936,11,14,7,Montreal Maroons,7,2,1,2,2,0,11,0,16,Detroit Red Wings,5,0,5,5,2,0,7,0,False
1936,11,14,13,Toronto Maple Leafs,4,1,3,4,3,0,6,0,11,Chicago Black Hawks,3,1,0,0,0,0,3,0,True
1936,11,15,6,Boston Bruins,6,1,0,0,2,0,3,0,0,Montreal Canadiens,3,1,2,2,1,0,3,0,True
1936,11,15,11,Chicago Black Hawks,2,0,2,2,6,0,9,0,13,Toronto Maple Leafs,4,2,5,5,3,0,5,0,False
1936,11,15,16,Detroit Red Wings,6,1,2,4,2,0,8,0,7,Montreal Maroons,6,1,2,4,2,0,11,0,False
1936,11,15,10,New York Rangers,6,1,4,3,1,0,11,0,9,New York Americans,5,1,0,0,0,0,17,0,False
1936,11,17,6,Boston Bruins,7,0,2,3,1,0,2,0,10,New York Rangers,6,2,1,1,2,0,12,0,False
1936,11,17,9,New York Americans,6,1,2,2,1,0,18,0,0,Montreal Canadiens,2,1,1,0,2,0,4,0,True
1936,11,19,11,Chicago Black Hawks,2,0,1,0,1,0,4,0,7,Montreal Maroons,6,2,2,3,2,0,11,0,False
1936,11,19,0,Montreal Canadiens,2,0,2,4,5,0,7,0,9,New York Americans,6,2,5,7,2,0,17,0,True
1936,11,19,10,New York Rangers,7,1,7,3,1,0,11,0,16,Detroit Red Wings,6,1,2,3,2,0,8,0,True
1936,11,21,0,Montreal Canadiens,3,1,3,5,2,0,4,0,10,New York Rangers,8,1,1,2,0,0,10,0,True
1936,11,21,13,Toronto Maple Leafs,5,1,2,1,2,0,3,0,6,Boston Bruins,7,1,2,1,6,0,7,0,False
1936,11,22,11,Chicago Black Hawks,1,0,0,1,4,0,7,0,6,Boston Bruins,7,2,4,4,3,0,4,0,False
1936,11,22,16,Detroit Red Wings,6,1,0,0,1,0,6,0,13,Toronto Maple Leafs,4,1,3,4,4,0,5,0,True
1936,11,22,9,New York Americans,5,1,1,1,3,0,18,0,7,Montreal Maroons,7,1,4,6,0,0,11,0,True
1936,11,24,6,Boston Bruins,7,2,2,2,1,0,2,0,11,Chicago Black Hawks,1,0,1,0,2,0,5,0,False
1936,11,24,7,Montreal Maroons,6,1,2,3,3,0,14,0,0,Montreal Canadiens,4,1,3,4,1,0,3,0,False
