Year, Month, Day,Home_ID, Home_name, Home_wins_last10, Home_wins_VERSUS_last2, Home_goals_lastGame, Home_assists_lastGame, Home_GA_startingGoalie, Home_SA_startingGoalie, Home_GA_allGoalies, Home_SA_allGoalies,Away_ID, Away_name, Away_wins_last10, Away_wins_VERSUS_last2, Away_goals_lastGame, Away_assists_lastGame, Away_GA_startingGoalie, Away_SA_startingGoalie, Away_GA_allGoalies, Away_SA_allGoalies,Home_Won
1947, 10, 15,17, Detroit Red Wings, 7, 2, 2, 4, 0, 0, 9, 0,12, Chicago Black Hawks, 2, 0, 2, 2, 4, 0, 20, 0,True
1947, 10, 16,1, Montreal Canadiens, 6, 2, 4, 6, 2, 0, 5, 0,11, New York Rangers, 2, 0, 6, 6, 3, 0, 9, 0,False
1947, 10, 18,1, Montreal Canadiens, 5, 1, 1, 2, 2, 0, 5, 0,12, Chicago Black Hawks, 1, 1, 2, 0, 4, 0, 20, 0,True
1947, 10, 18,13, Toronto Maple Leafs, 6, 1, 5, 4, 3, 0, 18, 0,17, Detroit Red Wings, 7, 1, 4, 5, 2, 0, 11, 0,False
1947, 10, 19,7, Boston Bruins, 9, 1, 1, 3, 3, 0, 6, 0,11, New York Rangers, 3, 1, 2, 3, 1, 0, 7, 0,True
1947, 10, 19,17, Detroit Red Wings, 7, 1, 1, 2, 2, 0, 11, 0,13, Toronto Maple Leafs, 5, 1, 2, 1, 2, 0, 17, 0,True
1947, 10, 22,7, Boston Bruins, 9, 1, 3, 5, 1, 0, 4, 0,1, Montreal Canadiens, 5, 1, 4, 6, 2, 0, 5, 0,True
1947, 10, 22,13, Toronto Maple Leafs, 5, 2, 0, 1, 2, 0, 17, 0,11, New York Rangers, 3, 0, 1, 1, 3, 0, 9, 0,True
1947, 10, 25,1, Montreal Canadiens, 5, 1, 1, 1, 3, 0, 6, 0,7, Boston Bruins, 9, 1, 3, 4, 1, 0, 4, 0,True
1947, 10, 25,13, Toronto Maple Leafs, 6, 1, 3, 4, 1, 0, 16, 0,12, Chicago Black Hawks, 1, 1, 2, 4, 4, 0, 20, 0,True
1947, 10, 26,7, Boston Bruins, 8, 2, 0, 0, 5, 0, 8, 0,12, Chicago Black Hawks, 1, 0, 1, 2, 5, 0, 21, 0,True
1947, 10, 26,17, Detroit Red Wings, 7, 2, 3, 2, 0, 0, 9, 0,1, Montreal Canadiens, 6, 0, 5, 6, 0, 0, 3, 0,False
1947, 10, 29,12, Chicago Black Hawks, 1, 0, 2, 2, 3, 0, 19, 0,17, Detroit Red Wings, 7, 2, 2, 3, 4, 0, 13, 0,False
1947, 10, 29,11, New York Rangers, 2, 0, 1, 1, 3, 0, 9, 0,7, Boston Bruins, 8, 2, 3, 4, 2, 0, 5, 0,False
1947, 10, 29,13, Toronto Maple Leafs, 6, 1, 5, 7, 1, 0, 16, 0,1, Montreal Canadiens, 6, 1, 4, 6, 2, 0, 5, 0,True
1947, 11, 1,11, New York Rangers, 2, 0, 1, 1, 3, 0, 9, 0,17, Detroit Red Wings, 7, 2, 5, 7, 2, 0, 11, 0,True
1947, 11, 1,13, Toronto Maple Leafs, 6, 0, 3, 4, 1, 0, 16, 0,7, Boston Bruins, 8, 2, 3, 4, 1, 0, 4, 0,False
1947, 11, 2,12, Chicago Black Hawks, 1, 1, 2, 1, 5, 0, 21, 0,1, Montreal Canadiens, 5, 1, 1, 2, 3, 0, 6, 0,False
1947, 11, 2,17, Detroit Red Wings, 7, 0, 3, 5, 4, 0, 13, 0,7, Boston Bruins, 8, 2, 1, 1, 1, 0, 4, 0,True
1947, 11, 2,11, New York Rangers, 3, 0, 4, 5, 3, 0, 9, 0,13, Toronto Maple Leafs, 6, 2, 1, 2, 1, 0, 16, 0,True
1947, 11, 5,12, Chicago Black Hawks, 1, 0, 2, 3, 4, 0, 20, 0,7, Boston Bruins, 7, 2, 1, 2, 2, 0, 5, 0,False
1947, 11, 6,17, Detroit Red Wings, 7, 1, 2, 3, 1, 0, 10, 0,11, New York Rangers, 4, 1, 7, 11, 4, 0, 10, 0,True
1947, 11, 6,1, Montreal Canadiens, 5, 0, 4, 4, 2, 0, 5, 0,13, Toronto Maple Leafs, 6, 2, 2, 6, 7, 0, 22, 0,True
1947, 11, 8,1, Montreal Canadiens, 6, 1, 3, 4, 0, 0, 3, 0,17, Detroit Red Wings, 7, 1, 2, 3, 1, 0, 10, 0,False
1947, 11, 8,13, Toronto Maple Leafs, 5, 1, 1, 0, 3, 0, 18, 0,11, New York Rangers, 4, 1, 1, 2, 2, 0, 8, 0,True
1947, 11, 9,12, Chicago Black Hawks, 1, 0, 1, 2, 2, 0, 18, 0,11, New York Rangers, 4, 2, 2, 3, 7, 0, 13, 0,True
1947, 11, 9,17, Detroit Red Wings, 7, 2, 3, 3, 1, 0, 10, 0,13, Toronto Maple Leafs, 5, 0, 7, 9, 2, 0, 17, 0,False
1947, 11, 12,11, New York Rangers, 4, 0, 4, 6, 8, 0, 14, 0,7, Boston Bruins, 7, 2, 2, 4, 1, 0, 4, 0,False
1947, 11, 12,13, Toronto Maple Leafs, 5, 2, 5, 8, 0, 0, 15, 0,12, Chicago Black Hawks, 2, 0, 9, 10, 5, 0, 21, 0,False
1947, 11, 13,1, Montreal Canadiens, 6, 2, 1, 1, 3, 0, 6, 0,12, Chicago Black Hawks, 2, 0, 5, 7, 4, 0, 20, 0,True
1947, 11, 15,1, Montreal Canadiens, 6, 1, 5, 6, 2, 0, 5, 0,7, Boston Bruins, 7, 1, 8, 10, 2, 0, 5, 0,False
1947, 11, 15,11, New York Rangers, 3, 1, 3, 3, 6, 0, 14, 0,12, Chicago Black Hawks, 2, 1, 2, 4, 5, 0, 21, 0,False
1947, 11, 15,13, Toronto Maple Leafs, 5, 1, 5, 7, 5, 0, 20, 0,17, Detroit Red Wings, 7, 1, 0, 0, 5, 0, 15, 0,True
1947, 11, 16,7, Boston Bruins, 8, 1, 9, 7, 1, 0, 4, 0,17, Detroit Red Wings, 6, 1, 3, 2, 5, 0, 15, 0,False
1947, 11, 16,12, Chicago Black Hawks, 3, 1, 5, 7, 3, 0, 19, 0,13, Toronto Maple Leafs, 6, 1, 4, 5, 3, 0, 18, 0,False
1947, 11, 16,11, New York Rangers, 2, 1, 3, 6, 5, 0, 13, 0,1, Montreal Canadiens, 6, 1, 1, 2, 9, 0, 12, 0,True
1947, 11, 19,7, Boston Bruins, 7, 2, 2, 2, 3, 0, 6, 0,13, Toronto Maple Leafs, 6, 0, 5, 6, 4, 0, 19, 0,True
