Year,Month,Day,Home_ID,Home_name,Home_wins_last10,Home_wins_VERSUS_last2,Home_goals_lastGame,Home_assists_lastGame,Home_GA_startingGoalie,Home_SA_startingGoalie,Home_GA_allGoalies,Home_SA_allGoalies,Away_ID,Away_name,Away_wins_last10,Away_wins_VERSUS_last2,Away_goals_lastGame,Away_assists_lastGame,Away_GA_startingGoalie,Away_SA_startingGoalie,Away_GA_allGoalies,Away_SA_allGoalies,Home_Won
1986,10,9,6,Boston Bruins,6,1,5,6,4,21,21,137,38,Calgary Flames,6,1,8,9,4,18,12,70,False
1986,10,9,40,Chicago Blackhawks,0,0,1,3,6,27,6,27,28,New York Islanders,6,0,6,9,9,42,10,70,True
1986,10,9,22,Los Angeles Kings,2,1,3,4,4,25,19,114,21,St. Louis Blues,4,1,1,2,5,33,12,91,False
1986,10,9,10,New York Rangers,4,2,2,6,4,35,15,112,39,New Jersey Devils,6,0,9,14,3,8,26,107,False
1986,10,9,23,Philadelphia Flyers,8,0,5,7,0,0,10,57,35,Edmonton Oilers,8,2,3,4,2,26,11,62,True
1986,10,9,20,Pittsburgh Penguins,3,0,4,9,4,34,14,107,30,Washington Capitals,6,2,2,6,6,25,12,94,True
1986,10,9,34,Quebec Nordiques,6,2,2,6,1,25,8,61,16,Detroit Red Wings,2,0,2,3,3,24,18,123,True
1986,10,9,13,Toronto Maple Leafs,3,1,2,4,6,21,20,97,0,Montreal Canadiens,4,1,4,6,2,23,8,60,True
1986,10,9,36,Winnipeg Jets,5,1,4,6,0,0,16,87,26,Buffalo Sabres,4,1,1,6,5,32,14,85,True
1986,10,11,16,Detroit Red Wings,2,0,2,3,5,29,26,158,40,Chicago Blackhawks,1,0,3,6,2,33,2,33,True
1986,10,11,37,Hartford Whalers,7,2,3,8,1,21,4,54,38,Calgary Flames,6,0,5,9,5,29,11,84,True
1986,10,11,22,Los Angeles Kings,1,1,2,5,5,24,19,109,28,New York Islanders,5,1,2,4,1,28,4,62,True
1986,10,11,0,Montreal Canadiens,4,0,3,7,6,35,12,72,35,Edmonton Oilers,7,2,1,4,9,36,11,66,False
1986,10,11,39,New Jersey Devils,7,0,5,9,3,21,26,120,6,Boston Bruins,5,2,3,7,5,33,22,149,True
1986,10,11,20,Pittsburgh Penguins,4,1,5,9,4,38,14,91,10,New York Rangers,4,1,3,5,5,23,12,91,True
1986,10,11,34,Quebec Nordiques,6,2,6,11,1,27,8,63,24,Minnesota North Stars,6,0,5,8,3,30,15,133,False
1986,10,11,13,Toronto Maple Leafs,4,1,6,12,4,33,18,109,26,Buffalo Sabres,4,1,2,4,5,22,12,80,False
1986,10,11,25,Vancouver Canucks,6,0,2,1,1,11,6,49,21,St. Louis Blues,5,2,4,5,3,31,10,89,True
1986,10,11,30,Washington Capitals,6,1,4,7,4,28,11,101,23,Philadelphia Flyers,8,1,1,3,1,22,11,79,False
1986,10,12,6,Boston Bruins,5,1,4,5,6,27,24,145,37,Hartford Whalers,7,1,6,10,5,31,8,64,True
1986,10,12,26,Buffalo Sabres,4,2,5,9,4,31,12,83,38,Calgary Flames,6,0,5,8,1,6,9,50,False
1986,10,12,40,Chicago Blackhawks,1,0,3,2,1,27,5,51,20,Pittsburgh Penguins,4,0,6,11,5,36,15,89,False
1986,10,12,36,Winnipeg Jets,5,0,3,4,2,16,18,103,35,Edmonton Oilers,7,2,5,8,2,30,6,68,True
1986,10,13,0,Montreal Canadiens,4,1,4,7,5,25,16,86,24,Minnesota North Stars,6,1,4,9,4,39,16,142,True
1986,10,13,10,New York Rangers,4,1,5,10,3,15,16,123,30,Washington Capitals,5,1,1,3,5,32,13,101,False
1986,10,13,25,Vancouver Canucks,6,2,4,7,2,22,8,60,34,Quebec Nordiques,5,0,4,8,4,31,11,67,False
1986,10,14,20,Pittsburgh Penguins,5,2,4,5,1,40,11,93,22,Los Angeles Kings,2,0,6,6,4,30,18,124,True
1986,10,14,13,Toronto Maple Leafs,4,2,5,8,5,23,19,99,21,St. Louis Blues,5,0,2,4,3,30,11,96,False
1986,10,14,36,Winnipeg Jets,6,0,5,9,3,25,18,112,6,Boston Bruins,5,2,7,13,5,29,20,136,False
1986,10,15,26,Buffalo Sabres,4,1,2,2,3,27,12,80,0,Montreal Canadiens,5,1,7,11,5,24,19,105,False
1986,10,15,40,Chicago Blackhawks,1,0,1,2,4,30,8,54,10,New York Rangers,4,0,6,11,2,8,20,142,False
